,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
0,Term: Winter 18 | ,Name: GRK        002             | ,Section: 001               | ,"Instructor: Popescu, Valentina | ",Course ID: 57135           | ,Required                 ,LEARN TO READ GREEK:PART 2-W/WORKBOOK  ,Author: KELLER        ,Edition: 12     ,Published Date: 2012,ISBN: 9780300167726
102,Term: Winter 18 | ,Name: HIS        164             | ,Section: 001               | ,"Instructor: Schlotterbeck, Maria | ",Course ID: 74992           | ,Required                 ,SANTIAGO'S CHILDREN                    ,Author: REIFENBERG    ,Edition: 08     ,Published Date: 2008,ISBN: 9780292717428
103,Term: Winter 18 | ,Name: HIS        164             | ,Section: 001               | ,"Instructor: Schlotterbeck, Maria | ",Course ID: 74992           | ,Required                 ,SOMETHING FIERCE                       ,Author: AGUIRRE       ,Edition: 12     ,Published Date: 2012,ISBN: 9781771000369
104,Term: Winter 18 | ,Name: HIS        164             | ,Section: 001               | ,"Instructor: Schlotterbeck, Maria | ",Course ID: 74992           | ,Required                 ,WAYS OF GOING HOME                     ,Author: ZAMBRA        ,Edition: 13     ,Published Date: 2013,ISBN: 9780374534356
105,Term: Winter 18 | ,Name: HIS        165             | ,Section: 001               | ,"Instructor: Schlotterbeck, Maria | ",Course ID: 57752           | ,Required                 ,UNDERDOGS                              ,Author: AZUELA        ,Edition: 08     ,Published Date: 2008,ISBN: 9780143105275
106,Term: Winter 18 | ,Name: HIS        169B            | ,Section: 001               | ,"Instructor: Oropeza, Lorena | ",Course ID: 74974           | ,Required                 ,CHICANO MOVEMENT FOR BEGINNERS         ,Author: MONTOYA       ,Edition: 16     ,Published Date: 2016,ISBN: 9781939994646
107,Term: Winter 18 | ,Name: HIS        169B            | ,Section: 001               | ,"Instructor: Oropeza, Lorena | ",Course ID: 74974           | ,Required                 ,DETAINED+DEPORTED                      ,Author: REGAN         ,Edition: 15     ,Published Date: 2015,ISBN: 9780807079836
108,Term: Winter 18 | ,Name: HIS        169B            | ,Section: 001               | ,"Instructor: Oropeza, Lorena | ",Course ID: 74974           | ,Required                 ,FELIX LONGORIA'S WAKE                  ,Author: CARROLL       ,Edition: 03     ,Published Date: 2003,ISBN: 9780292712492
109,Term: Winter 18 | ,Name: HIS        169B            | ,Section: 001               | ,"Instructor: Oropeza, Lorena | ",Course ID: 74974           | ,Required                 ,REBIRTH                                ,Author: MONROY        ,Edition: 99     ,Published Date: 1999,ISBN: 9780520213333
110,Term: Winter 18 | ,Name: HIS        170A            | ,Section: 001               | ,"Instructor: Smolenski, John | ",Course ID: 74978           | ,Required                 ,BEFORE THE REVOLUTION                  ,Author: RICHTER       ,Edition: 11     ,Published Date: 2011,ISBN: 9780674072367
111,Term: Winter 18 | ,Name: HIS        170A            | ,Section: 001               | ,"Instructor: Smolenski, John | ",Course ID: 74978           | ,Required                 ,COLONIAL AMERICAN HISTORY              ,Author: FISCHER       ,Edition: 02     ,Published Date: 2002,ISBN: 9780631218548
112,Term: Winter 18 | ,Name: HIS        170A            | ,Section: 001               | ,"Instructor: Smolenski, John | ",Course ID: 74978           | ,Required                 ,"GOOD WIVES,NASTY WENCHES+ANXIOUS...    ",Author: BROWN         ,Edition: 96     ,Published Date: 1996,ISBN: 9780807846230
113,Term: Winter 18 | ,Name: HIS        171B            | ,Section: 001               | ,"Instructor: Downs, Gregory | ",Course ID: 57754           | ,Required                 ,BATTLE CRY OF FREEDOM:CIVIL WAR ERA    ,Author: MCPHERSON     ,Edition: 88     ,Published Date: 1988,ISBN: 9780195168952
114,Term: Winter 18 | ,Name: HIS        171B            | ,Section: 001               | ,"Instructor: Downs, Gregory | ",Course ID: 57754           | ,Required                 ,BLUE-EYED CHILD OF FORTUNE             ,Author: SHAW          ,Edition: 92     ,Published Date: 1992,ISBN: 9780820321745
115,Term: Winter 18 | ,Name: HIS        171B            | ,Section: 001               | ,"Instructor: Downs, Gregory | ",Course ID: 57754           | ,Required                 ,CALIFORNIA GOLD RUSH+...OF CIVIL WAR   ,Author: RICHARDS      ,Edition: 07     ,Published Date: 2007,ISBN: 9780307277572
116,Term: Winter 18 | ,Name: HIS        171B            | ,Section: 001               | ,"Instructor: Downs, Gregory | ",Course ID: 57754           | ,Required                 ,FOREVER FREE                           ,Author: FONER         ,Edition: 05     ,Published Date: 2005,ISBN: 9780375702747
117,Term: Winter 18 | ,Name: HIS        171B            | ,Section: 001               | ,"Instructor: Downs, Gregory | ",Course ID: 57754           | ,Required                 ,INCIDENTS IN LIFE OF A SLAVE GIRL      ,Author: JACOBS        ,Edition: 01     ,Published Date: 2001,ISBN: 9780486419312
118,Term: Winter 18 | ,Name: HIS        174C            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 74979           | ,Required                 ,NEW JIM CROW                           ,Author: ALEXANDER     ,Edition: 12     ,Published Date: 2012,ISBN: 9781595586438
119,Term: Winter 18 | ,Name: HIS        174C            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 74979           | ,Required                 ,OTHER EIGHTIES                         ,Author: MARTIN        ,Edition: 11     ,Published Date: 2011,ISBN: 9780809074594
120,Term: Winter 18 | ,Name: HIS        174C            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 74979           | ,Required                 ,PATRIOTS:VIETMAN WAR REMEMBERED...     ,Author: APPY          ,Edition: 03     ,Published Date: 2003,ISBN: 9780142004494
121,Term: Winter 18 | ,Name: HIS        174C            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 74979           | ,Required                 ,WHEN AFFIRMATIVE ACTION WAS WHITE      ,Author: KATZNELSON    ,Edition: 05     ,Published Date: 2005,ISBN: 9780393328516
122,Term: Winter 18 | ,Name: HIS        177A            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 57757           | ,Required                 ,GENERATIONS OF CAPTIVITY               ,Author: BERLIN        ,Edition: 03     ,Published Date: 2003,ISBN: 9780674016248
123,Term: Winter 18 | ,Name: HIS        179             | ,Section: 001               | ,"Instructor: Tsu, Cecilia | ",Course ID: 74980           | ,Required                 ,ICLICKER/REEF PACKAGE                  ,Author: ICLICKER      ,Edition: ,Published Date: NA,ISBN: 9781319149628
124,Term: Winter 18 | ,Name: HIS        179             | ,Section: 001               | ,"Instructor: Tsu, Cecilia | ",Course ID: 74980           | ,Required                 ,KIYO'S STORY                           ,Author: SATO          ,Edition: 09     ,Published Date: 2009,ISBN: 9781569478660
125,Term: Winter 18 | ,Name: HIS        179             | ,Section: 001               | ,"Instructor: Tsu, Cecilia | ",Course ID: 74980           | ,Required                 ,MAKING OF ASIAN AMERICA                ,Author: LEE           ,Edition: 15     ,Published Date: 2015,ISBN: 9781476739403
126,Term: Winter 18 | ,Name: HIS        179             | ,Section: 001               | ,"Instructor: Tsu, Cecilia | ",Course ID: 74980           | ,Required                 ,PHILIP VERA CRUZ                       ,Author: SCHARLIN      ,Edition: 00     ,Published Date: 2000,ISBN: 9780295979847
127,Term: Winter 18 | ,Name: HIS        184             | ,Section: 001               | ,"Instructor: Blake, Jessica | ",Course ID: 74981           | ,Required                 ,FUN HOME:FAMILY TRAGICOMIC             ,Author: BECHDEL       ,Edition: 06     ,Published Date: 2006,ISBN: 9780618871711
128,Term: Winter 18 | ,Name: HIS        184             | ,Section: 001               | ,"Instructor: Blake, Jessica | ",Course ID: 74981           | ,Required                 ,INTIMATE FRONTIERS                     ,Author: HURTADO       ,Edition: 99     ,Published Date: 1999,ISBN: 9780826319548
129,Term: Winter 18 | ,Name: HIS        184             | ,Section: 001               | ,"Instructor: Blake, Jessica | ",Course ID: 74981           | ,Required                 ,LABORING WOMEN                         ,Author: MORGAN        ,Edition: 04     ,Published Date: 2004,ISBN: 9780812218732
130,Term: Winter 18 | ,Name: HIS        191C            | ,Section: 001               | ,"Instructor: Javers, Quinn | ",Course ID: 57761           | ,Required                 ,EMPEROR OF CHINA                       ,Author: SPENCE        ,Edition: 75     ,Published Date: 1975,ISBN: 9780679720744
131,Term: Winter 18 | ,Name: HIS        191C            | ,Section: 001               | ,"Instructor: Javers, Quinn | ",Course ID: 57761           | ,Required                 ,SIX RECORDS OF FLOATING LIFE           ,Author: SHEN          ,Edition: 83     ,Published Date: 1983,ISBN: 9780140444292
132,Term: Winter 18 | ,Name: HIS        191C            | ,Section: 001               | ,"Instructor: Javers, Quinn | ",Course ID: 57761           | ,Required                 ,TRUE CRIMES IN EIGHTEENTH-CENTURY CHINA,Author: HEGEL         ,Edition: 09     ,Published Date: 2009,ISBN: 9780295989075
133,Term: Winter 18 | ,Name: HIS        191F            | ,Section: 001               | ,"Instructor: Chiang, Hsueh | ",Course ID: 74982           | ,Required                 ,CHINA SINCE 1949                       ,Author: BENSON        ,Edition: 3RD 16 ,Published Date: 2016,ISBN: 9781138999091
134,Term: Winter 18 | ,Name: HIS        191F            | ,Section: 001               | ,"Instructor: Chiang, Hsueh | ",Course ID: 74982           | ,Required                 ,MAO'S CHINA+COLD WAR                   ,Author: JIAN          ,Edition: 01     ,Published Date: 2001,ISBN: 9780807849323
135,Term: Winter 18 | ,Name: HIS        191F            | ,Section: 001               | ,"Instructor: Chiang, Hsueh | ",Course ID: 74982           | ,Required                 ,MAO'S LITTLE RED BOOK:GLOBAL HISTORY   ,Author: COOK          ,Edition: 14     ,Published Date: 2014,ISBN: 9781107665644
136,Term: Winter 18 | ,Name: HIS        194A            | ,Section: 001               | ,"Instructor: Kim, Kyu | ",Course ID: 74983           | ,Required                 ,IN LITTLE NEED OF DIVINE INTERVENTION  ,Author: CONLAN        ,Edition: 01     ,Published Date: 2001,ISBN: 9781885445131
137,Term: Winter 18 | ,Name: HIS        194A            | ,Section: 001               | ,"Instructor: Kim, Kyu | ",Course ID: 74983           | ,Required                 ,PILLOW BOOK                            ,Author: SHONAGON      ,Edition: 06     ,Published Date: 2006,ISBN: 9780140448061
138,Term: Winter 18 | ,Name: HIS        194A            | ,Section: 001               | ,"Instructor: Kim, Kyu | ",Course ID: 74983           | ,Required                 ,WAR+STATE BUILDING IN MEDIEVAL JAPAN   ,Author: FEREJOHN      ,Edition: 10     ,Published Date: 2010,ISBN: 9780804763714
139,Term: Winter 18 | ,Name: HIS        194A            | ,Section: 001               | ,"Instructor: Kim, Kyu | ",Course ID: 74983           | ,Required                 ,WORLD TURNED UPSIDE DOWN               ,Author: SOUYRI        ,Edition: 01     ,Published Date: 2001,ISBN: 9780231118439
140,Term: Winter 18 | ,Name: HIS        196A            | ,Section: 001               | ,"Instructor: Sen, Sudipta | ",Course ID: 74984           | ,Required                 ,INDIA:A HISTORY                        ,Author: KEAY          ,Edition: REV 10 ,Published Date: 2010,ISBN: 9780802145581
141,Term: Winter 18 | ,Name: HIS        201Q            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 57926           | ,Required                 ,BUFFALO BILL'S AMERICA                 ,Author: WARREN        ,Edition: 05     ,Published Date: 2005,ISBN: 9780375726583
142,Term: Winter 18 | ,Name: HIS        201Q            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 57926           | ,Required                 ,CHALLENGE OF FEMINIST BIOGRAPHY        ,Author: ALPERN        ,Edition: 92     ,Published Date: 1992,ISBN: 9780252062926
143,Term: Winter 18 | ,Name: HIS        201Q            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 57926           | ,Required                 ,DONA MARIAS STORY                      ,Author: JAMES         ,Edition: 00     ,Published Date: 2000,ISBN: 9780822324928
144,Term: Winter 18 | ,Name: HIS        201Q            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 57926           | ,Required                 ,FLORENCE KELLEY+THE NATION'S WORK      ,Author: SKLAR         ,Edition: 95     ,Published Date: 1995,ISBN: 9780300072853
145,Term: Winter 18 | ,Name: HIS        201Q            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 57926           | ,Required                 ,HEMINGSES OF MONTICELLO                ,Author: GORDON-REED   ,Edition: 09     ,Published Date: 2009,ISBN: 9780393337761
146,Term: Winter 18 | ,Name: HIS        201Q            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 57926           | ,Required                 ,JANE CROW : THE LIFE OF PAULI MURRAY   ,"Author: ROSENBERG, ROS",Edition: ,Published Date: NA,ISBN: 9780190656454
147,Term: Winter 18 | ,Name: HIS        201Q            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 57926           | ,Required                 ,NJINGA OF ANGOLA : AFRICA'S WARRIOR QUE,"Author: HEYWOOD, LINDA",Edition: ,Published Date: NA,ISBN: 9780674971820
148,Term: Winter 18 | ,Name: HIS        201Q            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 57926           | ,Required                 ,RETURN OF MARTIN GUERRE                ,Author: DAVIS         ,Edition: 83     ,Published Date: 1983,ISBN: 9780674766914
149,Term: Winter 18 | ,Name: HIS        201Q            | ,Section: 001               | ,"Instructor: Olmsted, Kathryn | ",Course ID: 57926           | ,Required                 ,TALENTED WOMEN OF THE ZHANG FAMILY     ,Author: MANN          ,Edition: 07     ,Published Date: 2007,ISBN: 9780520250901
150,Term: Winter 18 | ,Name: HIS        201X            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 74985           | ,Required                 ,DISPOSSESSED LIVES                     ,Author: FUENTES       ,Edition: 16     ,Published Date: 2016,ISBN: 9780812248227
151,Term: Winter 18 | ,Name: HIS        201X            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 74985           | ,Required                 ,"DOMINGOS ALVARES,AFRICAN HEALING       ",Author: SWEET         ,Edition: 11     ,Published Date: 2011,ISBN: 9781469609751
152,Term: Winter 18 | ,Name: HIS        201X            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 74985           | ,Required                 ,FREEDOM'S MIRROR                       ,Author: FERRER        ,Edition: 14     ,Published Date: 2014,ISBN: 9781107697782
153,Term: Winter 18 | ,Name: HIS        201X            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 74985           | ,Required                 ,INTIMACIES OF FOUR CONTINENTS          ,Author: LOWE          ,Edition: 15     ,Published Date: 2015,ISBN: 9780822358756
154,Term: Winter 18 | ,Name: HIS        201X            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 74985           | ,Required                 ,LOSE YOUR MOTHER                       ,Author: HARTMAN       ,Edition: 07     ,Published Date: 2007,ISBN: 9780374531157
155,Term: Winter 18 | ,Name: HIS        201X            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 74985           | ,Required                 ,NEW ENGLAND BOUND                      ,Author: WARREN        ,Edition: 16     ,Published Date: 2016,ISBN: 9781631493249
156,Term: Winter 18 | ,Name: HIS        201X            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 74985           | ,Required                 ,REAPER'S GARDEN                        ,Author: BROWN         ,Edition: 08     ,Published Date: 2008,ISBN: 9780674057128
157,Term: Winter 18 | ,Name: HIS        201X            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 74985           | ,Required                 ,RIVER OF DARK DREAMS                   ,Author: JOHNSON       ,Edition: 13     ,Published Date: 2013,ISBN: 9780674975385
158,Term: Winter 18 | ,Name: HIS        201X            | ,Section: 001               | ,"Instructor: Leroy, Justin | ",Course ID: 74985           | ,Required                 ,SLAVERY AT SEA                         ,Author: MUSTAKEEM     ,Edition: 16     ,Published Date: 2016,ISBN: 9780252082023
